year,university,school,degree,employment_rate,gross_mean,gross_median,gross_25_percentile,gross_75_percentile
2015,NTU,College of Sciences,Biological Sciences,65.3,3229,3190,2875,3600
2015,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),96.5,3240,2875,2850,3125
2015,NTU,"College of Humanities, Arts and Social Sciences",Psychology,52,3264,3200,2800,3562
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,83.3,3266,3200,3000,3500
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in naval Architecture,100,3266,3141,2900,3500
2015,NTU,College of Engineering,Maritime Studies,95,3271,3200,3000,3300
2015,NUS,School of Computing,Bachelor of Computing (Communications and Media),85.2,3291,3500,2800,3800
2015,NUS,School of Computing,Bachelor of Computing (Electronic Commerce),87.1,3301,3300,3000,3500
2015,NTU,College of Sciences,Sports Science and Management,72.1,3307,3295,2900,3600
2015,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),70.5,3310,3310,3000,3625
2015,SIT,Trinity College Dublin,Bachelor in Science (Physiotherapy),98.3,3310,3222,3200,3500
2015,NUS,Faculty of Science,Bachelor of Science (Hons),76.2,3321,3300,3000,3600
2015,NTU,"College of Humanities, Arts and Social Sciences",English,74,3322,3314,2604,3743
2015,NUS,School of Design and Environment,Bachelor of Science (Real Estate),89.6,3325,3100,2810,3500
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),85.7,3337,3450,3000,3670
2015,SIT,Technische Universität München,Bachelor of Science in Electrical Engineering and Information Technology,90,3339,3250,3000,3488
2015,NUS,NUS Business School,Bachelor of Business Administration,80.3,3341,3000,2800,3700
2015,NUS,Yong Siew Toh Conservatory of Music,Bachelor of Music,41.2,3344,3300,3000,3600
2015,SIT,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,90.5,3346,3233,3000,3500
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,91.7,3354,3225,3050,3500
2015,NUS,Faculty of Science,Bachelor of Applied Science (Hons),77.8,3355,3100,3000,4000
2015,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),97.3,3356,3400,3200,3445
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),75.9,3357,3300,3000,3500
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),95.3,3366,3350,3200,3500
2015,NTU,College of Engineering,Chemical And Biomolecular Engineering,80.9,3373,3300,3000,3600
2015,NTU,College of Engineering,Information Engineering And Media,80,3375,3275,3000,3500
2015,NTU,College of Engineering,Mechanical Engineering,80.7,3388,3250,3000,3600
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),95,3391,3350,3050,3790
2015,SIT,University of Glasgow,Bachelor of Science with Honours in Computing Science,86.7,3391,3300,3152,3400
2015,NTU,College of Engineering,Materials Engineering,76.8,3397,3200,3000,3600
2015,NTU,"College of Humanities, Arts and Social Sciences",Sociology,79.4,3402,3125,2700,3600
2015,NTU,College of Sciences,Mathematical Science,72.7,3402,3240,2950,3500
2015,SIT,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,94.5,3404,3100,2975,3875
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,72.6,3405,3250,2900,3750
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),80,3422,3300,3000,3600
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,77.4,3425,3300,3000,3550
2015,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme),93,3427,3000,2850,3500
2015,NUS,Multidisciplinary Program,Bachelor of Environmental Studies,59.4,3433,3500,3238,3550
2015,NTU,College of Sciences,Mathematics and Economics,84.4,3440,3205,2925,3500
2015,NUS,Faculty of Arts and Social Sciences,Bachelor of Social Sciences,79.8,3442,3310,3000,3686
2015,NTU,College of Engineering,Electrical And Electronic Engineering,86.2,3446,3300,3000,3690
2015,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",56.9,3457,2800,2200,3000
2015,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing) (Hons),100,3466,3435,3300,3700
2015,SIT,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,94.7,3469,3350,3238,3575
2015,SIT,Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),100,3486,3488,3313,3650
2015,NTU,"College of Humanities, Arts and Social Sciences",Economics,75.9,3496,3300,3000,3800
2015,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),87.6,3502,3200,2900,3700
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),82.9,3529,3500,3000,4000
2015,NTU,College of Engineering,Computer Science,91.4,3535,3300,3150,3800
2015,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),83,3550,3200,2980,3600
2015,SUTD,SUTD,Bachelor of Engineering (Engineering Product Development),88.1,3565,3600,3400,3800
2015,NTU,College of Engineering,Computer Engineering,83,3577,3500,3200,4000
2015,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),98.6,3587,3000,2850,3634
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),90.4,3589,3300,3000,3700
2015,NTU,National Institute of Education (NIE),Science (with Education),100,3604,3504,3500,3855
2015,SMU,School of Business (4-year programme),Business Management (4-year programme),88.2,3611,3300,3000,4000
2015,NTU,National Institute of Education (NIE),Arts (with Education),100,3622,3500,3500,3605
2015,SIT,University of Manchester,Bachelor of Science with Honours in Nursing Practice,96.7,3624,3615,3400,3838
2015,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme),85.9,3660,3500,3200,4110
2015,NTU,College of Engineering,Environmental Engineering,82.1,3673,3300,3000,3835
2015,SIT,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,61.1,3685,3250,2960,4200
2015,NUS,School of Computing,Bachelor of Computing (Information Systems),97.2,3699,3550,3200,4100
2015,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme) Cum Laude and above,97.7,3701,3200,2850,4110
2015,NUS,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),97.9,3717,3500,3400,3929
2015,NTU,College of Engineering,Aerospace Engineering,86,3724,3700,3450,4000
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),94.7,3724,3500,3300,4030
2015,NTU,"College of Humanities, Arts and Social Sciences",Linguistics And Multilingual Studies,55.8,3753,3000,2800,3600
2015,SUTD,SUTD,Bachelor of Engineering (Engineering Systems and Design),71.8,3763,3500,3190,4100
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Engineering Science),73.9,3812,3800,3500,4420
2015,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme) Cum Laude and above,92.1,3834,3800,3500,4166
2015,NUS,School of Computing,Bachelor of Computing (Computer Science),95,3890,3700,3300,4400
2015,SMU,School of Economics (4-year programme),Economics (4-year programme),85.8,3946,3500,3200,4100
2015,SUTD,SUTD,Bachelor of Engineering (Information Systems Technology and Design),83.7,3952,3950,3338,4450
2015,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,89.7,4012,3560,3300,4583
2015,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,4083,4000,4000,4400
2015,NUS,School of Design and Environment,Bachelor of Arts (Architecture),96.4,4099,4127,3700,4500
2015,SMU,School of Business (4-year programme),Business Management (4-year programme) Cum Laude and above,93.3,4130,3868,3200,4600
2015,NUS,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),90.6,4252,4000,3325,4583
2015,NUS,NUS Business School,Bachelor of Business Administration (Hons),93.1,4326,3800,3300,4600
2015,SMU,School of Economics (4-year programme),Economics (4-year programme) Cum Laude and above,92.7,4380,3850,3500,4700
2015,NTU,College of Business (Nanyang Business School),Business and Computing,100,4395,4583,3800,4876
2015,NTU,College of Business (Nanyang Business School),Accountancy and Business,97.3,4438,3770,3000,4850
2015,NUS,Yong Loo Lin School of Medicine,Bachelor of Medicine and Bachelor of Surgery,100,4729,4900,4500,5000
2015,NUS,Faculty of Law,Bachelor of Laws (L.L.B) (Hons),96.9,4910,4700,4200,5800
2015,SMU,School of Law (4-year programme),Law (4-year programme),99,4997,4731,4350,5800
2015,SMU,School of Law (4-year programme),Law (4-year programme) Cum Laude and above,100,5313,5000,4500,5995
2016,SIT,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,69,2344,2300,2000,2500
2016,SIT,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,76.3,2485,2515,2200,2800
2016,NTU,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine),88.9,2577,2500,2150,2800
2016,SIT,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,58.9,2652,2600,2500,2700
2016,SIT,Newcastle University,Bachelor of Science with Honours in Food and Human Nutrition,62.2,2707,2600,2420,2800
2016,SIT,Wheelock College,Bachelor of Science in Early Childhood Education,92,2707,2700,2600,2850
2016,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",46.4,2761,2700,2500,3000
2016,NUS,Faculty of Science,Bachelor of Science,59.4,2995,3000,2600,3225
2016,NTU,"College of Humanities, Arts and Social Sciences",Communication Studies,69.6,2996,3000,2575,3365
2016,NTU,"College of Humanities, Arts and Social Sciences",English,54.2,2997,3000,2700,3400
2016,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),86.4,3020,2963,2800,3100
2016,SIT,Technische Universität München,Bachelor of Science in Electrical Engineering and Information Technology,86.4,3042,3000,2825,3350
2016,SIT,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts and Animation,53.3,3052,3000,2700,3016
2016,NUS,Faculty of Science,Bachelor of Applied Science (Hons),61.9,3058,3130,2800,3350
2016,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),95.1,3063,2900,2900,3100
2016,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts,62.5,3063,3000,2600,3200
2016,NTU,"College of Humanities, Arts and Social Sciences",History,76.6,3082,3000,2700,3500
2016,NUS,School of Design and Environment,Bachelor of Science (Project and Facilities Management),84.7,3113,3000,2850,3276
2016,NTU,"College of Humanities, Arts and Social Sciences",Psychology,66.7,3136,3200,2800,3500
2016,SIT,Technische Universität München,Bachelor of Science in Chemical Engineering,67.9,3149,3130,2500,3700
2016,NTU,College of Engineering,Environmental Engineering,74.2,3216,3100,2800,3400
2016,NTU,College of Sciences,Biological Sciences,64,3222,3175,3000,3550
2016,NTU,College of Sciences,Chemistry and Biological Chemistry,64.2,3234,3149,2925,3500
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,90,3239,3300,3000,3500
2016,NUS,Yong Siew Toh Conservatory of Music,Bachelor of Music,14.3,3250,3250,2999,3500
2016,NTU,College of Sciences,Sports Science and Management,66.1,3272,3200,2825,3500
2016,SIT,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,70.4,3273,3200,3000,3365
2016,SIT,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,65.3,3277,3200,2800,3700
2016,NUS,NUS Business School,Bachelor of Business Administration,80.7,3282,3000,2837,3500
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,72.7,3286,3430,3000,3600
2016,SIT,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,3301,3200,3100,3500
2016,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),80.4,3311,3145,3000,3500
2016,NTU,College of Engineering,Bioengineering,63.9,3317,3237,3000,3510
2016,NTU,College of Engineering,Materials Engineering,73.5,3317,3300,3000,3500
2016,NUS,School of Design and Environment,Bachelor of Arts (Industrial Design),65.6,3320,3000,2900,4000
2016,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),74.1,3321,3500,3000,3600
2016,NTU,College of Engineering,Maritime Studies,88.5,3328,3398,3083,3500
2016,SIT,DigiPen Institute of Technology,Bachelor of Science in Computer Science and Game Design,85.7,3329,3400,3100,3500
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,77.8,3344,3200,2900,3575
2016,SIT,Trinity College Dublin,Bachelor in Science (Physiotherapy),100,3344,3300,3240,3500
2016,NTU,"College of Humanities, Arts and Social Sciences",Chinese,74.7,3345,3300,3050,3500
2016,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),90.9,3363,3400,3200,3425
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),80.6,3366,3200,3000,3500
2016,NTU,"College of Humanities, Arts and Social Sciences",Linguistics And Multilingual Studies,61.8,3368,3365,2960,3500
2016,NUS,School of Design and Environment,Bachelor of Science (Real Estate),92.4,3368,3200,2950,3735
2016,NUS,Faculty of Science,Bachelor of Science (Hons),71.7,3386,3300,3000,3650
2016,SIT,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,64.4,3390,3275,2900,4009
2016,NUS,Multidisciplinary Program,Bachelor of Environmental Studies,67.6,3399,3300,3000,3500
2016,NUS,Faculty of Arts and Social Sciences,Bachelor of Social Sciences,73.3,3423,3300,3000,3650
2016,NTU,"College of Humanities, Arts and Social Sciences",Economics,79.3,3440,3300,3000,3850
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,79.7,3440,3200,2800,3700
2016,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),77.1,3444,3300,3000,3800
2016,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme),96,3455,3000,2900,3600
2016,NTU,College of Sciences,Mathematics and Economics,72.7,3458,3300,3000,3750
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,71.8,3463,3300,3080,3650
2016,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),99,3465,3075,2900,3800
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),65.6,3470,3350,3000,3832
2016,NTU,College of Engineering,Chemical And Biomolecular Engineering,72.6,3476,3400,3200,3800
2016,NTU,"College of Humanities, Arts and Social Sciences",Sociology,63.9,3480,3500,3000,3850
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),78.4,3501,3540,3200,3900
2016,NTU,College of Engineering,Civil Engineering,91.6,3505,3300,3200,3800
2016,NTU,College of Engineering,Mechanical Engineering,79.9,3505,3350,3050,3959
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),91.9,3509,3420,3200,3800
2016,NTU,College of Engineering,Electrical And Electronic Engineering,83.6,3517,3400,3190,3800
2016,SIT,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,80.3,3523,3300,3000,3800
2016,NTU,National Institute of Education (NIE),Science (with Education),100,3525,3525,3400,3615
2016,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing) (Hons),95.1,3529,3500,3400,3600
2016,NTU,College of Sciences,Mathematical Science,76.9,3535,3500,3200,3750
2016,NTU,National Institute of Education (NIE),Arts (with Education),100,3546,3525,3500,3850
2016,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,87.2,3548,3400,3000,3668
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),81,3560,3400,3150,3800
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),80.3,3562,3450,3150,4000
2016,NTU,College of Engineering,Information Engineering And Media,87.5,3570,3350,3000,4000
2016,NUS,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),97.2,3597,3600,3300,3950
2016,SIT,University of Manchester,Bachelor of Science with Honours in Nursing Practice,85.5,3600,3600,3400,3750
2016,SIT,Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),88.2,3628,3660,3400,3930
2016,NTU,College of Sciences,Physics / Applied Physics,77.1,3683,3450,3100,4000
2016,SUTD,SUTD,Bachelor of Engineering (Engineering Product Development),79.7,3690,3600,3300,3750
2016,SIT,University of Glasgow,Bachelor of Science with Honours in Computing Science,81.6,3704,3600,3400,3900
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Engineering Science),74.1,3707,3740,3350,4026
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),87.6,3765,3500,3200,4200
2016,SIT,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,92.9,3803,4000,3500,4200
2016,SUTD,SUTD,Bachelor of Engineering (Engineering Systems and Design),93.5,3830,3650,3550,4200
2016,SMU,School of Business (4-year programme),Business Management (4-year programme),84.6,3831,3500,3000,4000
2016,NTU,College of Engineering,Computer Engineering,75.9,3833,3500,3300,4420
2016,NTU,College of Engineering,Aerospace Engineering,77.9,3840,3675,3350,4435
2016,NTU,College of Engineering,Computer Science,91.4,3848,3500,3300,4333
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),78.9,3879,3500,3300,4250
2016,NTU,College of Business (Nanyang Business School),Accountancy and Business,96.6,3893,3500,3100,4250
2016,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme),91.5,3897,3600,3200,4167
2016,SMU,School of Economics (4-year programme),Economics (4-year programme),84,3906,3700,3200,4300
2016,NUS,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),85.9,3942,3900,3467,4500
2016,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme) Cum Laude and above,100,3943,3600,3000,4583
2016,SIT,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,81,3956,3840,3200,4530
2016,NUS,School of Design and Environment,Bachelor of Arts (Architecture),89.8,3960,4000,3500,4250
2016,NUS,School of Computing,Bachelor of Computing (Information Systems),94,3969,4000,3365,4500
2016,SIT,University of Liverpool,"Bachelor of Arts with Honours in Criminology
and Security",81.5,4131,4200,3700,4600
2016,NUS,NUS Business School,Bachelor of Business Administration (Hons),92.8,4207,3620,3258,4500
2016,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,4221,4050,4050,4450
2016,SUTD,SUTD,Bachelor of Engineering (Information Systems Technology and Design),91.9,4232,4000,3500,4950
2016,SMU,School of Business (4-year programme),Business Management (4-year programme) Cum Laude and above,92.1,4243,3660,3250,4583
2016,NUS,School of Computing,Bachelor of Computing (Computer Science),93.3,4385,4000,3500,5000
2016,NTU,College of Business (Nanyang Business School),Business and Computing,94.4,4407,4600,3800,5000
2016,SMU,School of Economics (4-year programme),Economics (4-year programme) Cum Laude and above,92.5,4425,4107,3800,4750
2016,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme) Cum Laude and above,95,4603,4167,3800,4750
2016,NUS,Yong Loo Lin School of Medicine,Bachelor of Medicine and Bachelor of Surgery,99.4,4887,5000,4500,5200
2016,NUS,Faculty of Law,Bachelor of Laws (L.L.B) (Hons),95.9,4898,4900,4200,5600
2016,SMU,School of Law (4-year programme),Law (4-year programme),93.7,4915,4850,4200,5800
2016,SMU,School of Law (4-year programme),Law (4-year programme) Cum Laude and above,96.7,5095,5300,4500,5800
